image_index t_x t_y t_z q_x q_y q_z q_w
0 0 0 0 0 0 0 1
1 -0.458199 0.0134333 0.0175014 0.000342622 0.0117145 0.00113658 0.999931
2 -0.91592 0.0144239 0.0339519 0.00045776 0.0234132 0.00226077 0.999723
3 -1.36685 0.0156018 0.0617365 0.000575548 0.0350699 0.0033241 0.999379
4 -1.81336 0.0161751 0.102184 0.000744063 0.0465815 0.00437636 0.998905
5 -2.24973 0.0154667 0.159349 0.000871979 0.0578699 0.0055667 0.998308
6 -2.6944 0.0125619 0.219146 0.000896686 0.0694333 0.00643028 0.997565
7 -3.1323 0.00815051 0.282119 0.000933441 0.0809099 0.00732485 0.996694
8 -3.56119 0.00448243 0.356306 0.00103801 0.0920523 0.00848753 0.995717
9 -3.99827 -0.00384593 0.440864 0.00108922 0.103515 0.00950399 0.994582
10 -4.43681 -0.0076378 0.532669 0.00116249 0.115038 0.0108316 0.993301
11 -4.87434 -0.0173645 0.644554 0.00114917 0.126704 0.0120078 0.991867
12 -5.30395 -0.0243163 0.761115 0.00117785 0.138122 0.0132058 0.990326
13 -5.73321 -0.0366117 0.888633 0.0012093 0.149576 0.0142492 0.988647
14 -6.15105 -0.0461842 1.01789 0.00129911 0.160841 0.0155546 0.986857
15 -6.58048 -0.0558901 1.17 0.00142095 0.172479 0.0165284 0.984874
16 -6.98759 -0.066035 1.31229 0.00154904 0.183501 0.017788 0.982857
17 -7.39996 -0.0833817 1.47515 0.00148569 0.194936 0.0188744 0.980633
18 -7.81623 -0.103895 1.6446 0.00146548 0.206311 0.019786 0.978285
19 -8.201 -0.12046 1.81158 0.00149068 0.216948 0.0210174 0.975956
20 -8.60279 -0.134051 1.99743 0.00161309 0.228237 0.0221258 0.973353
21 -8.98131 -0.145412 2.20062 0.00175068 0.239027 0.0234646 0.970728
22 -9.37721 -0.167733 2.40891 0.00175053 0.250294 0.0244622 0.967859
23 -9.75995 -0.187502 2.62842 0.0017257 0.26131 0.0255413 0.964915
24 -10.1412 -0.212916 2.84316 0.00173282 0.272497 0.0262673 0.961796
25 -10.5217 -0.232206 3.06911 0.00175968 0.283608 0.0273665 0.958548
26 -10.8833 -0.255573 3.32009 0.0017592 0.294587 0.0284148 0.955201
27 -11.2431 -0.279244 3.56302 0.00173838 0.305542 0.0292065 0.951729
28 -11.5968 -0.306624 3.8231 0.00166784 0.316415 0.0300099 0.948145
29 -11.9469 -0.340664 4.07351 0.00163399 0.327161 0.0308026 0.944465
30 -12.2882 -0.368051 4.35199 0.00162865 0.338012 0.031712 0.940606
31 -12.6305 -0.408025 4.64899 0.00138543 0.349027 0.0325868 0.936545
32 -12.9461 -0.448629 4.94233 0.00117287 0.359565 0.033335 0.932524
33 -13.2658 -0.473513 5.25953 0.00122629 0.370339 0.0341597 0.928268
34 -13.5737 -0.502287 5.57451 0.0011851 0.380868 0.0349687 0.923967
35 -13.8772 -0.528061 5.88505 0.00119044 0.39138 0.0359108 0.919527
36 -14.1783 -0.556645 6.21229 0.00130538 0.402108 0.0368159 0.914851
37 -14.4715 -0.579062 6.54705 0.00155126 0.412616 0.0376887 0.910124
38 -14.7423 -0.609676 6.87505 0.00151085 0.422822 0.038638 0.905387
39 -15.0202 -0.645825 7.22793 0.00139261 0.433257 0.0393991 0.900408
40 -15.2949 -0.672131 7.58597 0.00152779 0.443707 0.0403011 0.895264
41 -15.5427 -0.706982 7.94617 0.00151471 0.453906 0.0412185 0.890095
42 -15.7955 -0.742063 8.3138 0.00145772 0.464199 0.0421248 0.884728
43 -16.0231 -0.778954 8.69763 0.00137029 0.474484 0.0429557 0.879214
44 -16.2617 -0.811355 9.07708 0.00121101 0.48467 0.0438971 0.873594
45 -16.479 -0.853892 9.4575 0.000963967 0.494591 0.0447046 0.867975
46 -16.6944 -0.878064 9.8549 0.00127524 0.504762 0.0455877 0.862053
47 -16.8759 -0.905088 10.2494 0.00134341 0.514603 0.0464492 0.856169
48 -17.0673 -0.943169 10.6462 0.00127573 0.524348 0.0473471 0.850186
49 -17.2608 -0.971486 11.062 0.00149825 0.534371 0.0481993 0.843874
