image_index t_x t_y t_z q_x q_y q_z q_w
0 -0.787377 0.497871 0.649876 0.0106086 0.00126118 0.0426536 0.999033
1 -1.24058 0.44142 0.632726 0.00982937 0.0133204 0.0417083 0.998993
2 -1.69724 0.402449 0.638644 0.0092077 0.0252245 0.0410531 0.998796
3 -2.15164 0.37759 0.655659 0.00894335 0.0371059 0.039901 0.998474
4 -2.5999 0.342568 0.69312 0.00844337 0.0489193 0.0390665 0.998003
5 -3.0537 0.305304 0.730065 0.00787305 0.0607621 0.0382634 0.997388
6 -3.51106 0.273788 0.789077 0.00745302 0.072762 0.037254 0.996625
7 -3.9633 0.241247 0.852692 0.00690197 0.0846483 0.0363597 0.995723
8 -4.41095 0.213766 0.934507 0.00648894 0.0963881 0.0351926 0.9947
9 -4.85825 0.17536 1.03241 0.00587079 0.108226 0.0343375 0.993516
10 -5.29964 0.147887 1.13399 0.00535658 0.119877 0.0331693 0.99222
11 -5.74437 0.119401 1.24156 0.00492241 0.131655 0.0323157 0.990756
12 -6.16963 0.0856267 1.37482 0.00428882 0.143203 0.0313405 0.989188
13 -6.60448 0.0593821 1.50781 0.00380707 0.154907 0.030222 0.987459
14 -7.03181 0.0318279 1.65354 0.00328016 0.166589 0.0291642 0.98559
15 -7.45348 0.00758203 1.81046 0.00274425 0.178132 0.0281508 0.9836
16 -7.87868 -0.0174457 1.97872 0.00214425 0.189914 0.0270362 0.981426
17 -8.29295 -0.0425224 2.15733 0.00160989 0.20146 0.0262113 0.979145
18 -8.70751 -0.0672565 2.33991 0.00105878 0.212862 0.0253866 0.976752
19 -9.12378 -0.0897548 2.53457 0.000617008 0.22453 0.0243392 0.974163
20 -9.52569 -0.111915 2.73885 -2.5778e-05 0.235979 0.023263 0.97148
21 -9.92397 -0.135688 2.94857 -0.000585762 0.247334 0.0222605 0.968674
22 -10.3294 -0.15498 3.17724 -0.00113077 0.259024 0.0212903 0.965636
23 -10.7189 -0.17389 3.40777 -0.00171049 0.270318 0.0202992 0.962556
24 -11.1069 -0.195007 3.64656 -0.00222894 0.281699 0.0194268 0.959304
25 -11.4708 -0.203544 3.90035 -0.00253563 0.292771 0.0183826 0.956002
26 -11.8357 -0.213944 4.15843 -0.00313536 0.303801 0.0172208 0.952575
27 -12.1998 -0.234073 4.42551 -0.00381532 0.31494 0.0161824 0.948966
28 -12.5621 -0.245037 4.70553 -0.00435741 0.326199 0.0151617 0.94517
29 -12.9107 -0.258244 4.98696 -0.00473212 0.337216 0.0143891 0.941305
30 -13.2587 -0.267297 5.27869 -0.00511841 0.348346 0.0134275 0.937256
31 -13.595 -0.271658 5.57808 -0.00572554 0.359291 0.0121419 0.933129
32 -13.9304 -0.272527 5.87934 -0.00596147 0.370182 0.0112853 0.928871
33 -14.2514 -0.293734 6.19607 -0.00679614 0.380996 0.0103594 0.924494
34 -14.562 -0.299108 6.52959 -0.00730825 0.391809 0.00952071 0.919968
35 -14.8627 -0.306018 6.86608 -0.00787211 0.402609 0.00848334 0.915299
36 -15.1708 -0.305418 7.18515 -0.00824438 0.413274 0.00744696 0.910539
37 -15.4674 -0.311677 7.53644 -0.00897768 0.423931 0.0061741 0.905629
38 -15.7549 -0.307017 7.8892 -0.00931037 0.434715 0.00517536 0.900505
39 -16.0346 -0.306433 8.23876 -0.00958509 0.445146 0.00437746 0.895396
40 -16.2971 -0.30646 8.61262 -0.0101096 0.455629 0.00345645 0.890106
41 -16.5691 -0.295069 8.96825 -0.0101975 0.466059 0.00257017 0.884691
42 -16.8262 -0.29799 9.35116 -0.0109304 0.476602 0.00148376 0.87905
43 -17.0695 -0.292793 9.7373 -0.0114233 0.486932 0.000405484 0.873365
44 -17.2973 -0.297734 10.1272 -0.0122295 0.497082 -0.000692535 0.867617
45 -17.5251 -0.285138 10.5033 -0.0124646 0.507057 -0.00153225 0.861821
46 -17.7556 -0.276444 10.904 -0.0129151 0.517324 -0.00275181 0.855688
47 -17.9499 -0.266059 11.3207 -0.0135006 0.527398 -0.00374695 0.849503
48 -18.1611 -0.254167 11.7189 -0.0138488 0.537419 -0.00482221 0.843188
49 -18.3519 -0.245623 12.1351 -0.0144124 0.547404 -0.00589094 0.836724
