num_cameras num_3d_landmarks num_observations
10 300 1084
0 0 680.4 316.8
1 0 688.8 316.8
2 0 697.2 316.8
0 1 47.52 338.4
1 1 61.92 336.96
2 1 76.32 335.52
3 1 89.28 334.08
0 2 861.12 280.8
1 2 876.96 280.8
2 2 892.8 280.8
3 2 908.64 280.8
0 3 563.328 340.416
1 3 563.328 340.416
2 3 563.328 340.416
0 4 819.072 257.126
1 4 833.587 257.126
3 4 862.618 257.126
2 4 848.103 257.126
0 5 423.014 427.991
1 5 413.061 425.503
2 5 403.108 425.503
3 5 393.155 425.503
0 6 859.964 265.753
1 6 874.894 265.753
3 6 907.739 265.753
0 7 740.524 217.977
1 7 752.468 214.991
2 7 764.412 214.991
3 7 777.55 214.991
0 8 334.43 424.01
1 8 325.472 421.024
3 8 306.063 420.526
4 8 298.598 418.038
5 8 291.134 415.55
0 9 562.56 340.402
1 9 562.56 340.402
4 9 566.143 343.985
5 9 566.143 343.985
6 9 566.143 343.985
7 9 566.143 343.985
8 9 566.143 343.985
0 10 533.894 369.068
1 10 533.894 369.068
2 10 533.894 369.068
4 10 533.894 369.068
0 11 808 312
2 11 833 313
7 11 899 316
0 12 46.8 338.4
2 12 75.6 336
4 12 101 334
5 12 114 333
1 12 61.2 337.2
6 12 126 332
7 12 138 330
0 13 581.76 217.44
2 13 583.2 217.44
9 13 586.08 216
4 13 584.64 217.44
5 13 584.64 217.44
7 13 586.08 217.44
0 14 860.544 279.936
2 14 891.648 279.936
1 14 875.059 279.936
3 14 908.237 279.936
0 15 759.635 218.574
2 15 784.717 218.574
1 15 770.384 218.574
3 15 795.466 218.574
0 16 333.236 426.399
2 16 315.32 422.815
9 16 262.767 412.066
0 17 537.12 368.64
4 17 535.68 368.64
5 17 535.68 368.64
6 17 535.68 368.64
7 17 535.68 368.64
2 17 535.68 368.64
3 17 535.68 368.64
0 18 828 156.96
7 18 940.032 141.696
5 18 903.744 146.88
1 19 879 246
2 19 895 245
3 19 912 245
4 19 929 244
6 19 966 243
1 20 341 211
2 20 344 211
7 20 360 214
8 20 363 214
1 21 878 261
2 21 894 261
3 21 911 261
4 21 928 260
6 21 964 260
7 21 982.8 259.2
1 22 883 178
2 22 900 177
3 22 917 175
1 23 575 245
2 23 576 245
4 23 577 244
6 23 578 244
1 24 544 168
2 24 544 168
3 24 544 168
1 25 379 444
2 25 369 443
3 25 359 442
1 26 877.2 282
2 26 892.8 282
3 26 909.6 282
4 26 926.4 282
1 27 396 304.8
2 27 399.6 304.8
4 27 405.6 304.8
1 28 345.6 438
2 28 336 436.8
4 28 318 434.4
1 29 446.4 433.44
2 29 436.32 433.44
8 29 380.16 429.12
9 29 371.52 427.68
1 30 876.96 267.84
2 30 892.8 267.84
3 30 910.08 267.84
1 31 887.04 168.48
2 31 902.88 167.04
3 31 921.6 165.6
5 31 957.6 161.28
1 32 73.44 237.6
2 32 87.84 239.04
3 32 100.8 239.04
1 33 879.84 201.6
2 33 895.68 200.16
3 33 912.96 198.72
1 34 351.36 436.32
2 34 341.28 434.88
8 34 290.88 426.24
1 35 834.624 271.296
2 35 848.448 271.296
5 35 895.104 271.296
1 36 511.488 124.416
2 36 511.488 124.416
3 36 511.488 124.416
1 37 839.808 174.528
2 37 855.36 172.8
3 37 869.184 171.072
1 38 844.992 179.712
2 38 858.816 177.984
3 38 874.368 176.256
4 38 889.92 174.528
1 39 867.456 293.76
2 39 883.008 293.76
3 39 898.56 293.76
1 40 53.568 288.576
2 40 67.392 288.576
3 40 81.216 288.576
4 40 95.04 288.576
5 40 107.136 288.576
8 40 143.424 286.848
1 41 402.624 437.184
2 41 392.256 437.184
3 41 381.888 435.456
5 41 362.88 433.728
1 42 525.312 323.136
2 42 525.312 323.136
3 42 525.312 323.136
4 42 525.312 323.136
5 42 525.312 323.136
1 43 510.106 124.416
2 43 510.106 124.416
3 43 510.106 124.416
1 44 526.694 321.408
2 44 526.694 321.408
3 44 526.694 321.408
4 44 526.694 321.408
1 45 564.849 340.9
2 45 564.849 340.9
4 45 564.849 340.9
5 45 564.849 340.9
3 45 564.849 340.9
6 45 564.849 340.9
7 45 564.849 340.9
1 46 582.267 223.949
2 46 582.267 223.949
3 46 584.755 223.949
4 46 584.755 223.949
5 46 584.755 223.949
1 47 714.148 338.412
2 47 716.636 338.412
3 47 719.125 338.412
1 48 587.244 233.902
2 48 589.732 233.902
3 48 589.732 233.902
7 48 592.22 231.414
1 49 450.386 440.433
2 49 440.433 440.433
4 49 420.526 440.433
3 49 430.479 440.433
1 50 584.755 209.019
2 50 584.755 209.019
4 50 587.244 209.019
1 51 379.817 447.898
2 51 369.068 447.898
4 51 351.152 444.315
8 51 315.32 440.731
1 52 523.145 365.485
2 52 523.145 365.485
6 52 523.145 365.485
1 53 555.393 340.402
2 53 555.393 340.402
3 53 555.393 340.402
4 53 555.393 340.402
5 53 555.393 340.402
1 54 885.6 308.4
3 54 915.6 309.6
5 54 948 310.8
1 55 842.4 195.84
3 55 872.64 192.96
5 55 905.76 172.8
1 56 591.84 230.4
3 56 593.28 230.4
8 56 597.6 228.96
9 56 597.6 228.96
1 57 845.28 155.52
3 57 876.096 150.336
4 57 891.648 148.608
1 58 581.76 217.44
3 58 583.2 217.44
6 58 584.64 216
1 59 584.064 226.368
3 59 585.792 226.368
4 59 587.52 226.368
5 59 587.52 226.368
6 59 587.52 226.368
7 59 589.248 226.368
2 59 585.792 226.368
1 60 877.824 267.84
3 60 910.656 267.84
2 60 893.376 267.84
1 61 77.76 330.048
3 61 103.68 328.32
4 61 116.122 327.629
5 61 129.6 326.592
2 61 89.856 330.048
1 62 331.776 416.794
3 62 313.114 414.72
4 62 304.819 412.646
1 63 508.032 367.027
3 63 505.958 367.027
4 63 505.958 367.027
1 64 76.7232 331.776
3 64 103.68 329.702
5 64 128.563 327.629
8 64 823.219 315.187
1 65 580.608 215.654
3 65 582.682 215.654
4 65 582.682 215.654
5 65 582.682 215.654
6 65 584.755 215.654
8 65 584.755 215.654
2 65 580.608 215.654
7 65 584.755 215.654
1 66 751.473 216.484
3 66 773.37 214.991
4 66 785.314 214.991
1 67 480.246 343.388
3 67 479.002 344.218
2 67 479.002 344.218
1 68 561.365 483.73
3 68 555.393 480.146
6 68 558.976 480.146
1 69 580.475 225.74
3 69 580.475 225.74
2 69 580.475 225.74
1 70 585.6 226.8
4 70 586.08 226.08
5 70 587.52 226.08
6 70 587.52 226.08
7 70 588.96 226.08
1 71 808.704 513.216
4 71 762.048 521.856
6 71 727.488 527.04
1 72 821 312
6 72 885 315
4 72 858 314
5 72 871 314
1 73 419.232 132.578
6 73 433.565 132.578
5 73 429.982 132.578
1 74 338 414
7 74 357 424
5 74 375 426
2 75 550 176
3 75 550 176
