image_k_minus feature_k_minus_x_coord feature_k_minus_y_coord image_k feature_k_x_coord feature_k_y_coord 3d_world_pt_x 3d_world_pt_y 3d_world_pt_z
0 572 203 1 572 203 -2.29155 4.43071 19.5202
0 536 369 1 536 369 -0.898451 -1.84345 19.1494
0 512 126 1 512 126 -0.0524837 6.80387 17.9882
0 680.4 316.8 1 688.8 316.8 -14.4865 0.218338 46.2864
0 536.4 368.4 1 536.4 368.4 -0.913369 -1.82074 19.1462
0 601.2 361.2 1 602.4 361.2 -3.63115 -1.71947 21.1843
0 542.4 362.4 1 542.4 362.4 -1.14191 -1.60628 19.26
0 552.96 345.6 1 552.96 345.6 -1.54912 -0.984307 19.4278
0 47.52 338.4 1 61.92 338.4 27.6784 -1.02856 29.5927
0 167.04 524.16 1 155.52 524.16 5.02931 -3.12114 7.73408
0 508.32 367.2 1 508.32 367.2 0.117051 -1.71866 18.5361
0 807.84 311.04 1 819.36 311.04 -30.8213 0.83885 55.5145
0 862.56 246.24 1 878.4 246.24 -58.0127 12.318 88.3945
0 820.8 272.16 1 833.76 272.16 -48.1245 7.49538 83.3622
0 861.12 280.8 1 876.96 280.8 -58.1294 6.4879 88.967
0 861.12 262.08 1 876.96 262.08 -57.8781 9.64648 88.568
0 59.04 470.88 1 54.72 470.88 7.71043 -2.63005 8.80198
0 934.56 267.84 1 951.84 267.84 -80.3831 9.86599 101.573
0 864 218.88 1 879.84 218.88 -57.9962 16.8866 87.9849
0 537.12 368.64 1 535.68 368.64 -0.940776 -1.83183 19.1683
0 210.816 533.952 1 195.84 533.952 4.19352 -3.16114 7.48465
0 432 228.096 1 442.368 228.096 25.2368 25.7217 142.909
0 862.272 262.656 1 877.824 262.656 -58.1755 9.56468 88.7287
0 822.528 278.208 1 836.352 278.208 -48.3288 6.51387 83.2455
0 824.256 267.84 1 839.808 267.84 -48.5006 8.15687 83.0635
0 825.984 160.704 1 839.808 160.704 -48.144 24.9394 81.9144
0 542.592 361.152 1 542.592 361.152 -1.14912 -1.55913 19.2566
0 819.072 257.126 1 833.587 257.126 -47.8214 9.90337 83.3006
0 157.594 522.547 1 145.152 522.547 5.19754 -3.10888 7.76282
0 763.085 296.525 1 775.526 296.525 -45.3627 4.22042 97.2474
0 655.258 302.746 1 661.479 302.746 -16.4196 2.01268 62.657
0 505.129 370.76 1 505.129 370.76 0.231043 -1.8422 18.4829
0 477.758 251.32 1 485.223 251.32 5.35014 8.63602 64.477
0 860.959 218.972 1 878.377 218.972 -57.0837 16.7545 87.3585
0 365.783 283.669 1 368.271 283.669 6.60429 1.62786 22.715
0 801.239 303.575 1 813.681 303.575 -40.4978 2.21264 74.9178
0 763.914 296.11 1 776.356 296.11 -45.5187 4.29788 97.2511
0 415.55 129.393 1 418.867 129.393 4.36829 8.52038 22.7946
0 859.964 265.753 1 874.894 265.753 -57.504 8.99395 88.2914
0 862.95 191.103 1 877.88 191.103 -57.193 21.345 87.0051
0 633.029 334.43 1 639.001 334.43 -6.99066 -0.903038 30.8743
0 740.524 217.977 1 752.468 217.977 -30.7082 14.108 72.201
0 334.43 424.01 1 325.472 424.01 3.3035 -2.0545 10.0582
0 859.964 279.488 1 874.296 279.488 -57.7216 6.68825 88.6364
0 820.549 290.238 1 834.881 290.238 -49.7112 4.7503 86.2209
0 820.549 279.488 1 834.881 279.488 -48.1053 6.322 83.403
0 634.223 329.653 1 637.806 329.653 -7.19136 -0.628709 31.4754
0 558.976 229.324 1 558.976 229.324 -1.92898 3.77732 21.4747
0 820.549 207.825 1 834.881 207.825 -47.8083 17.7123 82.8366
1 472 246 2 481 246 6.07927 8.11856 56.1424
1 879 246 2 895 246 -58.3934 11.9897 88.6113
1 953 250 2 972 250 -80.1048 12.7552 101.095
1 877 255 2 894 255 -57.9872 10.4718 88.4949
1 878 261 2 894 261 -58.3252 9.49583 88.7733
1 597 269 2 598 269 -3.32069 1.9815 20.3207
1 883 178 2 900 178 -58.402 23.0908 87.5627
1 877 276 2 893 276 -58.2833 6.99539 88.9772
1 878 282 2 893 282 -58.5933 6.00004 89.211
1 379 444 2 369 444 2.25148 -2.47245 10.1694
1 485 440 2 476 440 0.186509 -2.54694 10.8769
