image_k_minus feature_k_minus_x_coord feature_k_minus_y_coord image_k feature_k_x_coord feature_k_y_coord 3d_world_pt_x 3d_world_pt_y 3d_world_pt_z
0 572 203 1 572 203 -2.29155 4.43071 19.5202
0 536 369 1 536 369 -0.898451 -1.84345 19.1494
0 512 126 1 512 126 -0.0524837 6.80387 17.9882
0 680 317 1 689 317 -14.4865 0.218338 46.2864
0 536 368 1 536 368 -0.913369 -1.82074 19.1462
0 601 361 1 602 361 -3.63115 -1.71947 21.1843
0 542 362 1 542 362 -1.14191 -1.60628 19.26
0 553 346 1 553 346 -1.54912 -0.984307 19.4278
0 48 338 1 62 338 27.6784 -1.02856 29.5927
0 167 524 1 156 524 5.02931 -3.12114 7.73408
0 508 367 1 508 367 0.117051 -1.71866 18.5361
0 808 311 1 819 311 -30.8213 0.83885 55.5145
0 863 246 1 878 246 -58.0127 12.318 88.3945
0 821 272 1 834 272 -48.1245 7.49538 83.3622
0 861 281 1 877 281 -58.1294 6.4879 88.967
0 861 262 1 877 262 -57.8781 9.64648 88.568
0 59 471 1 55 471 7.71043 -2.63005 8.80198
0 935 268 1 952 268 -80.3831 9.86599 101.573
0 864 219 1 880 219 -57.9962 16.8866 87.9849
0 537 369 1 536 369 -0.940776 -1.83183 19.1683
0 211 534 1 196 534 4.19352 -3.16114 7.48465
0 432 228 1 442 228 25.2368 25.7217 142.909
0 862 263 1 878 263 -58.1755 9.56468 88.7287
0 823 278 1 836 278 -48.3288 6.51387 83.2455
0 824 268 1 840 268 -48.5006 8.15687 83.0635
0 826 161 1 840 161 -48.144 24.9394 81.9144
0 543 361 1 543 361 -1.14912 -1.55913 19.2566
0 819 257 1 834 257 -47.8214 9.90337 83.3006
0 158 523 1 145 523 5.19754 -3.10888 7.76282
0 763 297 1 776 297 -45.3627 4.22042 97.2474
0 655 303 1 661 303 -16.4196 2.01268 62.657
0 505 371 1 505 371 0.231043 -1.8422 18.4829
0 478 251 1 485 251 5.35014 8.63602 64.477
0 861 219 1 878 219 -57.0837 16.7545 87.3585
0 366 284 1 368 284 6.60429 1.62786 22.715
0 801 304 1 814 304 -40.4978 2.21264 74.9178
0 764 296 1 776 296 -45.5187 4.29788 97.2511
0 416 129 1 419 129 4.36829 8.52038 22.7946
0 860 266 1 875 266 -57.504 8.99395 88.2914
0 863 191 1 878 191 -57.193 21.345 87.0051
0 633 334 1 639 334 -6.99066 -0.903038 30.8743
0 741 218 1 752 218 -30.7082 14.108 72.201
0 334 424 1 325 424 3.3035 -2.0545 10.0582
0 860 279 1 874 279 -57.7216 6.68825 88.6364
0 821 290 1 835 290 -49.7112 4.7503 86.2209
0 821 279 1 835 279 -48.1053 6.322 83.403
0 634 330 1 638 330 -7.19136 -0.628709 31.4754
0 559 229 1 559 229 -1.92898 3.77732 21.4747
0 821 208 1 835 208 -47.8083 17.7123 82.8366
1 472 246 2 481 246 6.07927 8.11856 56.1424
1 879 246 2 895 246 -58.3934 11.9897 88.6113
1 953 250 2 972 250 -80.1048 12.7552 101.095
1 877 255 2 894 255 -57.9872 10.4718 88.4949
1 878 261 2 894 261 -58.3252 9.49583 88.7733
1 597 269 2 598 269 -3.32069 1.9815 20.3207
1 883 178 2 900 178 -58.402 23.0908 87.5627
1 877 276 2 893 276 -58.2833 6.99539 88.9772
1 878 282 2 893 282 -58.5933 6.00004 89.211
1 379 444 2 369 444 2.25148 -2.47245 10.1694
1 485 440 2 476 440 0.186509 -2.54694 10.8769
1 544 168 2 544 168 -1.23241 5.54373 18.7884
1 821 312 2 833 312 -29.5656 0.596006 52.9426
1 536 369 2 536 369 -0.902022 -1.84085 19.1571
1 507 372 2 506 372 0.147921 -1.88972 18.5483
1 208 189 2 222 189 71.2679 29.158 109.864
1 375 440 2 365 440 2.32862 -2.38974 10.1574
1 488 89 2 487 89 0.683428 7.87875 17.4482
1 575 245 2 576 245 -2.41647 2.84804 19.7068
1 61 338 2 76 338 27.6779 -0.963041 29.5715
1 493 351 2 492 351 0.622908 -1.10587 18.1964
1 352 336 2 353 336 5.72822 -0.553953 18.2257
1 334 259 2 335 259 6.0891 2.14636 17.5148
1 560 158 2 560 158 -1.83233 5.99518 19.0999
